127.0.0.1, 2024-06-03 08:56:50, GET, /admin/default/site, HTTP/1.1, 200, 0.076998
127.0.0.1, 2024-06-03 08:56:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-06-03 08:56:56, GET, /, HTTP/1.1, 303, 0.000999
127.0.0.1, 2024-06-03 08:56:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.070999
127.0.0.1, 2024-06-03 08:56:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-06-03 08:57:01, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.007999
127.0.0.1, 2024-06-03 08:57:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2024-06-03 08:57:01, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.017000
127.0.0.1, 2024-06-03 08:57:01, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.058001
127.0.0.1, 2024-06-03 08:57:01, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.106000
127.0.0.1, 2024-06-03 08:57:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125511
127.0.0.1, 2024-06-03 08:57:01, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.099512
127.0.0.1, 2024-06-03 08:57:01, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.420510
127.0.0.1, 2024-06-03 08:58:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059999
127.0.0.1, 2024-06-03 08:58:02, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.349999
127.0.0.1, 2024-06-03 08:59:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054000
127.0.0.1, 2024-06-03 08:59:01, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.345000
127.0.0.1, 2024-06-03 08:59:02, GET, /admin/default/site, HTTP/1.1, 200, 0.070988
127.0.0.1, 2024-06-03 08:59:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2024-06-03 08:59:05, GET, /examples/default/index, HTTP/1.1, 200, 0.019998
127.0.0.1, 2024-06-03 08:59:07, GET, /admin/default/site, HTTP/1.1, 200, 0.071999
